CustomerID,Days_Since_Last_Purchase,Purchase_Frequency,Annual_Income,Average_Order_Value,Total_Items_Purchased,Total_Quantity,Average_Quantity_Per_Order,Days_Since_First_Purchase,Customer_Lifetime_Days,Purchase_Rate,Customer_Segment_Tenure,Age,Years_Customer,Spending_Score,Cluster,Cluster_Interpretation
12346.0,325,1,77183.6,77183.6,1,74215,74215.0,325,0,1.0,Loyal (6-12m),24,0.1,100,3,Premium customers with high order values
12347.0,1,7,4310.0,23.68,182,2458,13.51,366,365,0.0191,VIP (1y+),40,1.0,92,2,Frequent buyers with consistent engagement
12348.0,74,4,1797.24,57.98,31,2341,75.52,357,283,0.0141,Loyal (6-12m),49,0.8,77,2,Frequent buyers with consistent engagement
12349.0,18,1,1757.55,24.08,73,631,8.64,18,0,1.0,New (0-30d),43,0.1,76,0,Budget-conscious customers with moderate spending patterns
12350.0,309,1,334.4,19.67,17,197,11.59,309,0,1.0,Loyal (6-12m),38,0.1,28,0,Budget-conscious customers with moderate spending patterns
12352.0,35,8,2506.04,29.48,85,536,6.31,296,261,0.0305,Loyal (6-12m),43,0.7,84,2,Frequent buyers with consistent engagement
12353.0,203,1,89.0,22.25,4,20,5.0,203,0,1.0,Loyal (6-12m),48,0.1,3,0,Budget-conscious customers with moderate spending patterns
12354.0,231,1,1079.4,18.61,58,530,9.14,231,0,1.0,Loyal (6-12m),47,0.1,64,0,Budget-conscious customers with moderate spending patterns
12355.0,213,1,459.4,35.34,13,240,18.46,213,0,1.0,Loyal (6-12m),30,0.1,38,0,Budget-conscious customers with moderate spending patterns
12356.0,22,3,2811.43,47.65,59,1591,26.97,325,303,0.0099,Loyal (6-12m),39,0.8,86,2,Frequent buyers with consistent engagement
12357.0,32,1,6207.67,47.39,131,2708,20.67,32,0,1.0,Recent (1-3m),43,0.1,95,2,Frequent buyers with consistent engagement
12358.0,1,2,1168.06,61.48,19,248,13.05,150,149,0.0133,Regular (3-6m),29,0.4,66,2,Frequent buyers with consistent engagement
12359.0,57,4,6372.58,25.7,248,1622,6.54,331,274,0.0145,Loyal (6-12m),49,0.8,96,2,Frequent buyers with consistent engagement
12360.0,51,3,2662.06,20.64,129,1165,9.03,200,149,0.02,Loyal (6-12m),35,0.4,85,2,Frequent buyers with consistent engagement
12361.0,286,1,189.9,18.99,10,91,9.1,286,0,1.0,Loyal (6-12m),30,0.1,14,0,Budget-conscious customers with moderate spending patterns
12362.0,2,10,5226.23,19.65,266,2229,8.38,295,293,0.034,Loyal (6-12m),53,0.8,94,2,Frequent buyers with consistent engagement
12363.0,109,2,552.0,24.0,23,408,17.74,241,132,0.015,Loyal (6-12m),42,0.4,43,0,Budget-conscious customers with moderate spending patterns
12364.0,7,4,1313.1,15.45,85,1506,17.72,111,104,0.0381,Regular (3-6m),18,0.3,69,0,Budget-conscious customers with moderate spending patterns
12365.0,290,2,641.38,29.15,22,174,7.91,290,0,2.0,Loyal (6-12m),49,0.1,48,0,Budget-conscious customers with moderate spending patterns
12367.0,3,1,168.9,15.35,11,173,15.73,3,0,1.0,New (0-30d),29,0.1,12,0,Budget-conscious customers with moderate spending patterns
12370.0,50,4,3545.69,21.23,167,2353,14.09,359,309,0.0129,Loyal (6-12m),42,0.8,90,2,Frequent buyers with consistent engagement
12371.0,44,2,1887.96,29.97,63,591,9.38,59,15,0.125,Recent (1-3m),32,0.1,78,0,Budget-conscious customers with moderate spending patterns
12372.0,71,3,1298.04,24.96,52,794,15.27,296,225,0.0133,Loyal (6-12m),48,0.6,69,2,Frequent buyers with consistent engagement
12373.0,310,1,364.6,26.04,14,197,14.07,310,0,1.0,Loyal (6-12m),32,0.1,31,0,Budget-conscious customers with moderate spending patterns
12374.0,24,1,742.93,22.51,33,342,10.36,24,0,1.0,New (0-30d),57,0.1,53,0,Budget-conscious customers with moderate spending patterns
12375.0,10,2,457.5,26.91,17,178,10.47,97,87,0.0227,Regular (3-6m),41,0.2,38,0,Budget-conscious customers with moderate spending patterns
12377.0,314,2,1628.12,21.14,77,944,12.26,354,40,0.0488,Loyal (6-12m),21,0.1,75,0,Budget-conscious customers with moderate spending patterns
12378.0,129,1,4008.62,18.3,219,2529,11.55,129,0,1.0,Regular (3-6m),49,0.1,91,0,Budget-conscious customers with moderate spending patterns
12379.0,81,2,852.24,21.31,40,407,10.18,169,88,0.0225,Regular (3-6m),31,0.2,57,0,Budget-conscious customers with moderate spending patterns
12380.0,21,4,2724.81,26.2,104,1127,10.84,185,164,0.0242,Loyal (6-12m),47,0.4,85,2,Frequent buyers with consistent engagement
12381.0,4,5,1845.31,21.21,87,808,9.29,119,115,0.0431,Regular (3-6m),48,0.3,78,2,Frequent buyers with consistent engagement
12383.0,184,5,1850.56,18.69,99,1532,15.47,351,167,0.0298,Loyal (6-12m),39,0.5,78,2,Frequent buyers with consistent engagement
12384.0,28,2,585.27,21.68,27,126,4.67,121,93,0.0213,Regular (3-6m),33,0.3,45,0,Budget-conscious customers with moderate spending patterns
12386.0,337,2,401.9,40.19,10,354,35.4,366,29,0.0667,VIP (1y+),18,0.1,34,0,Budget-conscious customers with moderate spending patterns
12388.0,15,6,2780.66,27.81,100,1462,14.62,326,311,0.0192,Loyal (6-12m),23,0.9,86,2,Frequent buyers with consistent engagement
12390.0,79,1,549.84,17.18,32,353,11.03,79,0,1.0,Recent (1-3m),54,0.1,43,0,Budget-conscious customers with moderate spending patterns
12391.0,21,1,460.89,4.61,100,300,3.0,21,0,1.0,New (0-30d),20,0.1,38,0,Budget-conscious customers with moderate spending patterns
12393.0,71,4,1582.6,24.73,64,816,12.75,332,261,0.0153,Loyal (6-12m),58,0.7,74,2,Frequent buyers with consistent engagement
12394.0,63,2,1272.48,47.13,27,819,30.33,216,153,0.013,Loyal (6-12m),58,0.4,68,2,Frequent buyers with consistent engagement
12395.0,18,12,3018.63,19.35,156,2118,13.58,370,352,0.034,VIP (1y+),33,1.0,87,2,Frequent buyers with consistent engagement
12397.0,35,2,2409.9,19.13,126,1263,10.02,134,99,0.02,Regular (3-6m),49,0.3,83,2,Frequent buyers with consistent engagement
12398.0,45,1,1635.66,19.24,85,1394,16.4,45,0,1.0,Recent (1-3m),45,0.1,75,0,Budget-conscious customers with moderate spending patterns
12399.0,118,4,1108.65,18.79,59,1178,19.97,261,143,0.0278,Loyal (6-12m),47,0.4,65,2,Frequent buyers with consistent engagement
12401.0,302,1,84.3,16.86,5,11,2.2,302,0,1.0,Loyal (6-12m),51,0.1,2,0,Budget-conscious customers with moderate spending patterns
12402.0,322,1,225.6,20.51,11,94,8.55,322,0,1.0,Loyal (6-12m),51,0.1,18,0,Budget-conscious customers with moderate spending patterns
12403.0,49,1,427.7,85.54,5,96,19.2,49,0,1.0,Recent (1-3m),18,0.1,36,0,Budget-conscious customers with moderate spending patterns
12405.0,148,1,1710.39,31.67,54,857,15.87,148,0,1.0,Regular (3-6m),41,0.1,76,0,Budget-conscious customers with moderate spending patterns
12406.0,21,2,3415.3,32.53,105,1818,17.31,183,162,0.0123,Loyal (6-12m),34,0.4,89,2,Frequent buyers with consistent engagement
12407.0,49,5,1708.12,22.18,77,1416,18.39,263,214,0.0233,Loyal (6-12m),51,0.6,76,2,Frequent buyers with consistent engagement
12408.0,32,5,2888.55,27.51,105,1409,13.42,259,227,0.0219,Loyal (6-12m),57,0.6,87,2,Frequent buyers with consistent engagement
12409.0,78,3,11072.67,101.58,109,5551,50.93,182,104,0.0286,Loyal (6-12m),24,0.3,98,2,Frequent buyers with consistent engagement
12410.0,308,2,693.33,26.67,26,211,8.12,308,0,2.0,Loyal (6-12m),45,0.1,51,0,Budget-conscious customers with moderate spending patterns
12412.0,74,3,1226.88,20.11,61,829,13.59,168,94,0.0316,Regular (3-6m),26,0.3,67,0,Budget-conscious customers with moderate spending patterns
12413.0,66,3,758.1,19.95,38,286,7.53,336,270,0.0111,Loyal (6-12m),45,0.7,54,2,Frequent buyers with consistent engagement
12414.0,216,3,562.41,31.24,18,300,16.67,309,93,0.0319,Loyal (6-12m),44,0.3,44,0,Budget-conscious customers with moderate spending patterns
12415.0,23,21,124914.53,174.95,714,77374,108.37,337,314,0.0667,Loyal (6-12m),25,0.9,100,1,High-value customers with strong purchasing power
12417.0,2,9,3649.1,19.01,192,1552,8.08,357,355,0.0253,Loyal (6-12m),36,1.0,90,2,Frequent buyers with consistent engagement
12418.0,112,1,668.58,19.66,34,407,11.97,112,0,1.0,Regular (3-6m),18,0.1,50,0,Budget-conscious customers with moderate spending patterns
12420.0,63,1,600.39,20.7,29,345,11.9,63,0,1.0,Recent (1-3m),47,0.1,46,0,Budget-conscious customers with moderate spending patterns
12421.0,15,4,807.04,17.93,45,484,10.76,318,303,0.0132,Loyal (6-12m),48,0.8,56,2,Frequent buyers with consistent engagement
12422.0,95,3,803.56,20.6,39,370,9.49,324,229,0.013,Loyal (6-12m),32,0.6,56,2,Frequent buyers with consistent engagement
12423.0,0,8,1859.31,14.87,125,1339,10.71,353,353,0.0226,Loyal (6-12m),52,1.0,78,2,Frequent buyers with consistent engagement
12424.0,162,2,1760.96,58.7,30,740,24.67,162,0,2.0,Regular (3-6m),32,0.1,76,0,Budget-conscious customers with moderate spending patterns
12425.0,77,1,777.2,21.59,36,496,13.78,77,0,1.0,Recent (1-3m),29,0.1,55,0,Budget-conscious customers with moderate spending patterns
12426.0,194,1,582.73,19.42,30,258,8.6,194,0,1.0,Loyal (6-12m),29,0.1,45,0,Budget-conscious customers with moderate spending patterns
12427.0,21,3,825.8,26.64,31,533,17.19,371,350,0.0085,VIP (1y+),30,1.0,56,2,Frequent buyers with consistent engagement
12428.0,25,9,7956.46,27.06,294,3536,12.03,283,258,0.0347,Loyal (6-12m),53,0.7,97,2,Frequent buyers with consistent engagement
12429.0,8,4,3750.4,38.66,97,1557,16.05,365,357,0.0112,Loyal (6-12m),33,1.0,91,2,Frequent buyers with consistent engagement
12430.0,42,1,256.4,23.31,11,117,10.64,42,0,1.0,Recent (1-3m),43,0.1,21,0,Budget-conscious customers with moderate spending patterns
12431.0,35,15,6487.45,27.61,235,2906,12.37,373,338,0.0442,VIP (1y+),36,0.9,96,2,Frequent buyers with consistent engagement
12432.0,42,5,5059.32,46.85,108,1801,16.68,171,129,0.0385,Regular (3-6m),40,0.4,94,2,Frequent buyers with consistent engagement
12433.0,0,7,13375.87,31.85,420,11071,26.36,372,372,0.0188,VIP (1y+),53,1.0,98,2,Frequent buyers with consistent engagement
12434.0,84,2,806.14,16.12,50,394,7.88,259,175,0.0114,Loyal (6-12m),37,0.5,56,2,Frequent buyers with consistent engagement
12435.0,79,2,7829.89,217.5,36,2055,57.08,267,188,0.0106,Loyal (6-12m),52,0.5,97,2,Frequent buyers with consistent engagement
12436.0,99,1,509.01,31.81,16,211,13.19,99,0,1.0,Regular (3-6m),48,0.1,41,0,Budget-conscious customers with moderate spending patterns
12437.0,1,18,4951.41,24.88,199,2922,14.68,330,329,0.0545,Loyal (6-12m),25,0.9,94,2,Frequent buyers with consistent engagement
12438.0,13,2,2906.85,29.66,98,1180,12.04,139,126,0.0157,Regular (3-6m),51,0.3,87,2,Frequent buyers with consistent engagement
12441.0,366,1,173.55,15.78,11,121,11.0,366,0,1.0,VIP (1y+),20,0.1,12,0,Budget-conscious customers with moderate spending patterns
12442.0,2,1,172.06,14.34,12,182,15.17,2,0,1.0,New (0-30d),50,0.1,12,0,Budget-conscious customers with moderate spending patterns
12444.0,20,5,5005.46,28.44,176,1153,6.55,170,150,0.0331,Regular (3-6m),44,0.4,94,2,Frequent buyers with consistent engagement
12445.0,21,1,133.4,33.35,4,62,15.5,21,0,1.0,New (0-30d),68,0.1,7,0,Budget-conscious customers with moderate spending patterns
12446.0,57,1,1002.31,17.58,57,351,6.16,57,0,1.0,Recent (1-3m),47,0.1,62,0,Budget-conscious customers with moderate spending patterns
12447.0,242,1,476.49,18.33,26,190,7.31,242,0,1.0,Loyal (6-12m),52,0.1,39,0,Budget-conscious customers with moderate spending patterns
12448.0,43,1,449.45,20.43,22,243,11.05,43,0,1.0,Recent (1-3m),36,0.1,38,0,Budget-conscious customers with moderate spending patterns
12449.0,21,4,4067.29,21.29,191,1553,8.13,186,165,0.0241,Loyal (6-12m),48,0.5,92,2,Frequent buyers with consistent engagement
12450.0,155,2,197.88,24.74,8,128,16.0,172,17,0.1111,Regular (3-6m),36,0.1,15,0,Budget-conscious customers with moderate spending patterns
12451.0,10,5,9035.52,25.52,354,6575,18.57,324,314,0.0159,Loyal (6-12m),66,0.9,97,2,Frequent buyers with consistent engagement
12452.0,16,2,430.57,19.57,22,185,8.41,16,0,2.0,New (0-30d),51,0.1,37,0,Budget-conscious customers with moderate spending patterns
12453.0,133,1,707.09,16.44,43,473,11.0,133,0,1.0,Regular (3-6m),37,0.1,52,0,Budget-conscious customers with moderate spending patterns
12454.0,55,1,3528.34,235.22,15,1006,67.07,55,0,1.0,Recent (1-3m),37,0.1,89,0,Budget-conscious customers with moderate spending patterns
12455.0,72,6,2466.86,27.41,90,2089,23.21,296,224,0.0267,Loyal (6-12m),38,0.6,83,2,Frequent buyers with consistent engagement
12456.0,43,3,3181.04,25.45,125,1633,13.06,254,211,0.0142,Loyal (6-12m),48,0.6,88,2,Frequent buyers with consistent engagement
12457.0,65,7,2363.23,38.12,62,843,13.6,238,173,0.0402,Loyal (6-12m),31,0.5,83,2,Frequent buyers with consistent engagement
12458.0,70,2,947.4,24.93,38,506,13.32,284,214,0.0093,Loyal (6-12m),41,0.6,60,2,Frequent buyers with consistent engagement
12461.0,93,2,826.88,23.63,35,287,8.2,154,61,0.0323,Regular (3-6m),70,0.2,56,0,Budget-conscious customers with moderate spending patterns
12462.0,18,2,1189.59,19.19,62,536,8.65,302,284,0.007,Loyal (6-12m),32,0.8,66,2,Frequent buyers with consistent engagement
12463.0,52,4,1344.78,16.2,83,776,9.35,241,189,0.0211,Loyal (6-12m),54,0.5,70,2,Frequent buyers with consistent engagement
12464.0,9,8,1212.05,41.79,29,112,3.86,308,299,0.0267,Loyal (6-12m),45,0.8,67,2,Frequent buyers with consistent engagement
12465.0,16,2,742.19,15.79,47,479,10.19,168,152,0.0131,Regular (3-6m),18,0.4,53,0,Budget-conscious customers with moderate spending patterns
12468.0,187,2,729.54,19.2,38,366,9.63,315,128,0.0155,Loyal (6-12m),24,0.4,53,0,Budget-conscious customers with moderate spending patterns
12471.0,1,30,19824.05,43.1,460,8212,17.85,364,363,0.0824,Loyal (6-12m),23,1.0,99,2,Frequent buyers with consistent engagement
12472.0,31,7,6572.11,19.39,339,4148,12.24,368,337,0.0207,VIP (1y+),44,0.9,96,2,Frequent buyers with consistent engagement
12473.0,28,5,3938.55,23.44,168,2439,14.52,191,163,0.0305,Loyal (6-12m),42,0.4,91,2,Frequent buyers with consistent engagement
12474.0,16,18,7375.79,17.4,424,4847,11.43,329,313,0.0573,Loyal (6-12m),44,0.9,97,2,Frequent buyers with consistent engagement
12475.0,53,1,723.38,20.09,36,535,14.86,53,0,1.0,Recent (1-3m),50,0.1,53,0,Budget-conscious customers with moderate spending patterns
12476.0,15,11,6816.42,29.26,233,2408,10.33,360,345,0.0318,Loyal (6-12m),51,0.9,96,2,Frequent buyers with consistent engagement
12477.0,22,6,13219.74,44.07,300,3653,12.18,301,279,0.0214,Loyal (6-12m),38,0.8,98,2,Frequent buyers with consistent engagement
